Voter ID,Age,2020 marriage,Zip,Outcome,Swing Voter,Party_1,Party_2,Party_3,Sex_0,Sex_1,Ethnicity_2,Ethnicity_3
8838820,2,3,85201,0,Low_Chance,1,0,0,1,0,0,1
8838867,2,5,85204,0,Low_Chance,0,1,0,1,0,0,1
8839434,2,2,85210,0,High_Chance,0,0,1,0,1,0,1
8839444,4,40,85224,0,Low_Chance,0,0,1,1,0,0,1
8840208,2,4,85233,0,Low_Chance,1,0,0,1,0,1,0
8840400,3,79,85202,0,Low_Chance,1,0,0,1,0,0,1
8840691,3,46,85204,0,High_Chance,0,0,1,1,0,1,0
8840702,2,0,85202,0,Low_Chance,0,0,1,1,0,0,1
8840741,6,69,85201,0,High_Chance,0,0,1,1,0,0,1
8840778,6,97,85201,0,Low_Chance,0,0,1,1,0,0,1
8840865,1,8,85201,0,Low_Chance,0,0,1,1,0,1,0
8841211,1,7,85201,0,Low_Chance,0,1,0,1,0,0,1
8841233,4,98,85213,0,Low_Chance,0,0,1,1,0,0,1
8841247,6,22,85201,0,Low_Chance,0,1,0,0,1,0,1
8841258,4,38,85210,0,Low_Chance,1,0,0,1,0,1,0
8841287,6,33,85204,0,Low_Chance,1,0,0,0,1,1,0
8841410,1,0,85204,1,High_Chance,0,0,1,0,1,0,1
8841690,6,33,85213,0,Low_Chance,1,0,0,1,0,0,1
8841737,5,44,85201,1,Low_Chance,0,0,1,0,1,0,1
8841846,2,11,85201,0,Low_Chance,1,0,0,1,0,0,1
8841909,6,29,85213,1,Low_Chance,0,0,1,1,0,0,1
8842139,2,1,85201,0,Low_Chance,0,0,1,1,0,0,1
8842183,2,4,85204,0,Low_Chance,0,1,0,1,0,0,1
8842215,1,5,85201,0,High_Chance,0,0,1,1,0,0,1
8842281,5,35,85213,0,Low_Chance,1,0,0,0,1,0,1
8842288,5,98,85213,0,Low_Chance,0,1,0,0,1,0,1
8842351,6,58,85203,0,Low_Chance,0,0,1,0,1,0,1
8842380,6,35,85201,0,Low_Chance,0,1,0,1,0,0,1
8810835,1,1,85202,0,High_Chance,0,0,1,1,0,0,1
8855755,3,49,85210,0,Low_Chance,0,1,0,0,1,0,1
8856357,5,35,85210,0,Low_Chance,0,0,1,0,1,0,1
8856690,2,7,85202,0,Low_Chance,0,1,0,1,0,0,1
8856781,2,13,85213,0,Low_Chance,1,0,0,1,0,0,1
8605931,3,91,85203,0,Low_Chance,0,0,1,1,0,0,1
8606047,2,17,85210,0,Low_Chance,0,0,1,1,0,0,1
8606442,1,1,85203,0,Low_Chance,1,0,0,0,1,0,1
8606722,2,1,85210,0,Low_Chance,0,0,1,0,1,0,1
8607009,2,3,85202,0,Low_Chance,0,0,1,1,0,0,1
8607393,3,52,85204,0,Low_Chance,1,0,0,1,0,1,0
8607531,3,47,85201,0,High_Chance,0,0,1,1,0,0,1
8607852,2,9,85213,0,Low_Chance,1,0,0,1,0,0,1
8608231,1,11,85203,0,Low_Chance,1,0,0,0,1,0,1
8608603,6,86,85204,0,Low_Chance,1,0,0,0,1,0,1
8616692,2,6,85204,0,Low_Chance,0,0,1,1,0,0,1
8616784,3,83,85204,0,Low_Chance,0,0,1,1,0,0,1
8617041,3,72,85204,0,Low_Chance,1,0,0,1,0,1,0
8617115,3,96,85202,0,Low_Chance,0,1,0,0,1,0,1
8617419,6,84,85210,0,Low_Chance,0,0,1,1,0,1,0
8617700,2,42,85204,0,Low_Chance,1,0,0,1,0,1,0
8617988,2,34,85201,0,Low_Chance,1,0,0,1,0,1,0
8618082,2,1,85234,0,Low_Chance,0,0,1,1,0,0,1
8618180,3,37,85224,0,Low_Chance,0,1,0,1,0,0,1
8618218,1,2,85202,0,Low_Chance,0,1,0,0,1,0,1
8618516,2,9,85203,0,Low_Chance,0,0,1,1,0,0,1
8619531,5,46,85203,0,Low_Chance,0,1,0,0,1,0,1
8619532,3,86,85210,0,Low_Chance,1,0,0,1,0,0,1
8620028,2,4,85202,0,Low_Chance,1,0,0,0,1,0,1
8620228,5,68,85201,0,Low_Chance,1,0,0,0,1,0,1
8620266,2,6,85201,1,High_Chance,0,0,1,0,1,0,1
8620267,3,14,85202,0,Low_Chance,1,0,0,0,1,0,1
8620553,2,6,85210,0,High_Chance,0,0,1,0,1,0,1
8620697,6,65,85282,0,Low_Chance,0,1,0,0,1,0,1
8620868,3,82,85203,0,Low_Chance,0,0,1,1,0,0,1
8620926,3,87,85203,0,Low_Chance,0,1,0,0,1,0,1
8621392,2,0,85282,0,High_Chance,0,0,1,0,1,0,1
8621493,3,90,85204,0,Low_Chance,0,1,0,1,0,0,1
8621613,2,0,85202,1,Low_Chance,0,1,0,0,1,0,1
8622526,5,16,85201,0,Low_Chance,1,0,0,1,0,0,1
8623047,1,22,85213,0,Low_Chance,1,0,0,1,0,0,1
8623180,4,85,85225,0,Low_Chance,1,0,0,0,1,0,1
8623185,6,94,85213,0,High_Chance,1,0,0,0,1,0,1
8623337,4,44,85204,0,Low_Chance,0,1,0,1,0,0,1
8623371,3,15,85204,0,High_Chance,0,0,1,1,0,0,1
8623671,3,13,85201,0,Low_Chance,1,0,0,1,0,0,1
8784550,6,54,85282,0,Low_Chance,1,0,0,0,1,0,1
8784591,3,36,85203,0,High_Chance,0,0,1,1,0,0,1
8784800,2,0,85202,0,Low_Chance,1,0,0,0,1,0,1
8784857,2,4,85210,0,High_Chance,0,0,1,0,1,1,0
8785154,1,3,85210,1,Low_Chance,1,0,0,0,1,0,1
8785233,3,45,85201,0,Low_Chance,0,0,1,1,0,0,1
8785297,4,97,85224,0,Low_Chance,0,1,0,0,1,0,1
8785298,4,98,85224,0,Low_Chance,0,1,0,1,0,0,1
8785316,5,95,85204,0,Low_Chance,0,1,0,1,0,0,1
8785416,2,10,85210,0,Low_Chance,0,0,1,0,1,0,1
8785469,3,41,85282,0,Low_Chance,1,0,0,1,0,0,1
8785666,3,14,85204,0,Low_Chance,1,0,0,1,0,1,0
8785802,2,16,85204,0,Low_Chance,1,0,0,0,1,0,1
8788156,2,7,85210,0,High_Chance,0,1,0,0,1,0,1
8788480,3,23,85204,1,Low_Chance,0,1,0,1,0,0,1
8788623,1,3,85204,0,Low_Chance,0,1,0,0,1,0,1
8788893,3,7,85225,0,Low_Chance,0,0,1,1,0,0,1
8870668,3,9,85283,1,Low_Chance,1,0,0,0,1,0,1
8874318,2,4,85202,0,Low_Chance,0,1,0,0,1,0,1
8876509,3,12,85201,0,Low_Chance,1,0,0,1,0,0,1
8876873,3,86,85234,0,High_Chance,0,0,1,0,1,1,0
8876946,2,8,85234,0,High_Chance,0,0,1,0,1,1,0
8877354,1,1,85210,0,Low_Chance,0,0,1,0,1,0,1
8734482,2,3,85213,1,Low_Chance,0,0,1,0,1,0,1
8734623,4,21,85203,0,Low_Chance,0,0,1,1,0,0,1
8736244,6,41,85202,0,Low_Chance,1,0,0,1,0,0,1
8736264,4,41,85202,0,High_Chance,0,0,1,0,1,0,1
8736714,2,6,85210,0,Low_Chance,0,0,1,1,0,0,1
8793821,4,99,85202,0,Low_Chance,0,1,0,1,0,0,1
8795722,4,42,85204,0,High_Chance,0,0,1,1,0,1,0
8795742,1,9,85204,1,High_Chance,0,0,1,0,1,1,0
8795839,5,28,85201,0,High_Chance,0,0,1,0,1,0,1
8795909,6,30,85213,0,Low_Chance,0,0,1,0,1,1,0
8796149,5,47,85213,0,Low_Chance,1,0,0,0,1,1,0
8796271,4,28,85204,0,Low_Chance,1,0,0,0,1,0,1
8796287,6,25,85213,0,Low_Chance,0,0,1,1,0,1,0
8796346,6,36,85203,0,Low_Chance,1,0,0,1,0,0,1
8796381,3,71,85201,0,Low_Chance,0,1,0,0,1,0,1
8796476,6,26,85204,0,Low_Chance,0,1,0,0,1,0,1
8796512,1,2,85201,0,Low_Chance,1,0,0,1,0,0,1
8796551,6,89,85213,0,Low_Chance,0,1,0,0,1,0,1
8796552,6,94,85213,0,Low_Chance,0,1,0,1,0,0,1
8796607,4,92,85204,0,High_Chance,0,0,1,1,0,0,1
8796621,2,5,85203,0,Low_Chance,1,0,0,0,1,1,0
8796624,4,46,85201,0,Low_Chance,1,0,0,0,1,1,0
8796625,3,31,85204,1,High_Chance,0,0,1,0,1,0,1
8796804,2,3,85213,0,Low_Chance,0,1,0,1,0,0,1
8797084,2,11,85202,0,Low_Chance,1,0,0,0,1,0,1
8797124,2,1,85202,0,Low_Chance,1,0,0,1,0,1,0
8797148,4,29,85201,0,Low_Chance,1,0,0,1,0,0,1
8797340,3,80,85204,0,Low_Chance,1,0,0,0,1,1,0
8797366,5,58,85281,1,Low_Chance,1,0,0,1,0,0,1
8797393,1,0,85204,0,Low_Chance,0,0,1,0,1,0,1
8797496,4,36,85210,0,Low_Chance,0,1,0,0,1,0,1
8797655,2,1,85202,0,Low_Chance,0,0,1,0,1,1,0
8797791,2,4,85204,0,High_Chance,0,0,1,0,1,1,0
8797831,4,32,85210,1,High_Chance,0,0,1,0,1,0,1
8797920,5,92,85234,0,Low_Chance,0,1,0,1,0,0,1
8797991,1,10,85210,0,Low_Chance,1,0,0,0,1,1,0
8798008,1,3,85204,0,Low_Chance,1,0,0,1,0,1,0
8798069,2,13,85204,1,High_Chance,0,0,1,1,0,0,1
8798112,6,24,85204,0,Low_Chance,1,0,0,1,0,1,0
8798127,1,3,85204,0,Low_Chance,1,0,0,1,0,1,0
8798173,4,18,85210,0,Low_Chance,1,0,0,1,0,0,1
8798190,2,19,85210,0,Low_Chance,0,0,1,0,1,1,0
8798301,6,35,85201,0,Low_Chance,0,0,1,1,0,0,1
8798471,4,45,85204,1,Low_Chance,0,0,1,0,1,0,1
8798541,3,26,85210,0,Low_Chance,0,1,0,1,0,0,1
8798588,5,35,85203,0,High_Chance,0,0,1,1,0,0,1
8798641,3,35,85204,0,Low_Chance,0,0,1,0,1,1,0
8798983,6,32,85203,0,Low_Chance,1,0,0,1,0,0,1
