Voter ID,Party,Sex,Age,Ethnicity,Voter Score,Turnout Score,PartisanshipScore,Kids in HH,Liberal Ideology, marriage,Zip,Outcome
290858,2,1,62,3,5.02,83,0,53,5,97,85204,0
290920,2,1,69,3,5.19,99,0,30,6,93,85204,0
290921,2,0,59,3,6.29,93,0,36,15,98,85204,0
290952,1,0,89,3,92.79,98,99,2,72,76,85204,0
290953,1,0,60,3,76.44,81,35,39,32,54,85204,1
291008,3,0,49,3,22.89,94,3,97,34,98,85204,0
291039,2,1,49,3,8.7,78,2,70,11,93,85204,0
291040,1,0,51,3,51.27,78,97,82,74,98,85204,0
291072,2,0,61,3,3.04,99,3,41,7,94,85204,0
291156,3,0,58,2,63.65,78,98,58,61,41,85204,0
291162,2,1,66,3,12.61,14,1,10,15,60,85204,0
291190,2,1,62,3,10.01,85,0,7,23,81,85204,0
291191,2,0,66,3,8.64,99,0,7,10,89,85204,0
291215,2,1,42,3,5.09,99,1,41,5,59,85204,0
291241,3,1,49,2,27.56,34,59,61,25,85,85204,1
291294,2,0,45,3,5.24,84,2,75,4,91,85204,0
291311,1,0,73,3,96.61,99,95,1,50,8,85213,0
291322,2,0,63,3,6.63,99,1,7,9,71,85204,0
291324,1,0,68,2,94.73,98,98,6,52,7,85204,0
291349,2,1,46,3,4.91,99,0,90,5,95,85204,0
291350,2,1,44,3,5.38,91,1,84,6,92,85204,0
291376,2,0,74,3,8.1,99,6,2,15,47,85204,0
291439,3,0,69,2,87.43,98,92,3,60,37,85204,0
291511,2,1,64,3,14.61,60,1,31,10,71,85204,0
291541,2,1,63,3,10.57,26,1,1,18,13,85204,0
291563,1,0,55,3,91.99,86,96,74,83,74,85204,0
291564,1,0,57,3,90.43,87,98,34,79,35,85204,0
291597,1,0,61,3,25.89,80,94,39,60,95,85204,0
291622,2,0,72,3,5.9,99,1,2,10,26,85204,0
291625,2,1,73,3,7.11,99,0,5,15,93,85204,0
291669,3,0,63,2,83.51,23,89,6,34,3,85204,0
291774,2,1,66,3,7.81,92,0,62,4,96,85204,0
291775,2,0,67,3,5.26,91,1,52,8,94,85204,0
291794,1,0,80,3,97.37,99,97,2,80,35,85204,0
291801,2,1,74,3,3.85,99,0,15,5,97,85204,0
291821,2,1,80,3,4.68,59,0,58,5,98,85204,0
291822,2,0,75,3,4.56,65,0,67,9,98,85204,0
291858,2,1,73,3,15.57,99,1,5,2,95,85204,0
291917,2,1,68,3,4.34,99,0,41,3,97,85204,0
291918,2,0,72,3,4.69,99,0,12,5,98,85204,0
291996,2,0,44,3,48.16,87,1,35,40,18,85204,0
291817,2,1,79,3,3.78,99,0,21,1,98,85204,0
291826,2,1,40,3,5.08,28,0,81,8,73,85204,0
291878,2,1,58,3,9.43,81,7,78,9,96,85204,0
291950,2,0,84,3,5.29,98,2,1,11,97,85204,0
291961,2,0,59,2,53.42,99,1,43,20,97,85204,0
291979,1,0,77,2,95.84,99,98,2,59,79,85204,0
291990,1,0,72,3,90.96,99,98,2,70,88,85204,0
292023,1,0,71,3,93.66,98,99,28,50,38,85210,0
292035,3,0,57,3,78.36,98,19,13,47,4,85204,0
292064,2,0,54,3,4.9,13,1,86,5,93,85204,0
292097,2,1,71,3,3.95,99,5,30,3,94,85204,0
292136,2,1,80,3,8.46,99,1,8,3,97,85204,0
292228,2,0,89,3,7.17,89,0,1,8,42,85204,0
292235,2,0,59,3,6.12,84,0,20,10,94,85204,0
292259,1,0,66,3,45.06,18,15,17,35,42,85204,0
292279,1,0,64,3,91.64,98,97,6,80,19,85204,0
292387,1,1,68,3,28.92,83,98,7,57,88,85204,0
292398,3,1,60,3,82.29,85,14,31,32,60,85204,0
292411,1,1,76,3,94.07,99,98,3,49,82,85204,0
292421,3,1,68,3,34.0,57,7,7,23,23,85204,0
292448,2,0,71,3,4.38,48,0,2,6,93,85204,0
292459,1,0,39,3,90.08,98,98,41,77,20,85210,0
292466,1,1,76,3,92.0,98,98,60,60,95,85204,0
292487,2,0,65,3,6.18,99,0,1,16,18,85204,0
292502,3,1,69,3,72.07,99,7,4,30,80,85204,0
292554,3,1,60,2,12.59,89,88,18,40,81,85204,0
292573,2,0,62,3,8.99,99,3,24,21,92,85204,0
292583,2,0,65,3,5.21,99,0,10,7,95,85204,0
292592,2,0,76,3,3.95,99,0,5,7,79,85204,0
